0,W9S1,,,,,"",,
1,W9K1,,,,,"",,
2,W901,,"W9K1","RW901W9K1",,,,
3,W9K2,,,,,"",,
4,W9K4,,,,,"",,
5,W9K3,,,,,"",,
6,W906,,"W9K3","RW906W9K3",,"",,
7,W908,,"W9K4","RW908W9K4",,"",,
8,W907,,"W9K4","RW907W9K4",,"",,
9,W905,,"W9K3","RW905W9K3",,"",,
10,W902,,"W9K1","RW902W9K1",,"",,
12,W904,,"W9K2","RW904W9K2",,"",,
13,W903,,"W9K2","RW903W9K2",,"",,
14,Fd01,stop,,,,"",,
15,F001,stop,,,,"",,
16,F102,,,,,"",,
17,F105,,,,,"",,
18,F125,,,,,"",,
19,F132,,,,,"",,
20,F135,,,,,"",,
21,F142,,,,,"",,
22,F145,,,,,"",,
23,F152,,,,,"",,
24,F155,,,,,"",,
25,F172,,,,,"",,
26,F175,,,,,"",,
27,F176,,,,,"",,
29,Fca1,,,,,"",,
30,Fca2,,,,,"",,
31,Fc21,,,,,"",,
32,Fc22,,,,,"",,
33,Fcb1,,,,,"",,
34,Fcd1,,,,,"",,
35,Fce1,,,,,"",,
36,Fcf1,,,,,"",,
37,Fch1,,,,,"",,
38,Fcg1,,,,,"",,
39,Fc51,,,,,"",,
40,Fc52,,,,,"",,
41,Fc41,,,,,"",,
42,Fc42,,,,,"",,
43,Fc61,,,,,"",,
44,Fc62,,,,,"",,
45,Fc31,,,,,"",,
46,Fc32,,,,,"",,
47,Fc71,,,,,"",,
48,Fc81,,,,,"",,
49,Fc82,,,,,"",,
50,Fc11,,,,,"",,
51,Fc91,,,,,"",,
52,Fcc1,,,,,"",,
53,F122,,,,,"",,
54,Fc72,,,,,"",,
